Symbol,Direction,Entry Time,Exit Time,Entry Price,Exit Price,Exit Reason,PnL (%),Holding Time (ms)
BTCUSDT,BULLISH,1704153600000,1704240000000,44230.2000,41962.0889,stop_loss,-5.13,86400000
BTCUSDT,BULLISH,1704326400000,1704672000000,42849.5000,46887.6647,take_profit,9.42,345600000
BTCUSDT,BULLISH,1704758400000,1704931200000,46972.7000,46337.8000,force_close,-1.35,172800000
ETHUSDT,BULLISH,1704153600000,1704240000000,2354.6200,2208.2564,stop_loss,-6.22,86400000
ETHUSDT,BULLISH,1704326400000,1704844800000,2210.3900,2466.0193,take_profit,11.56,518400000
SOLUSDT,BULLISH,1704153600000,1704240000000,110.0470,95.8323,stop_loss,-12.92,86400000
SOLUSDT,BULLISH,1704326400000,1704931200000,98.5190,99.9280,force_close,1.43,604800000
BNBUSDT,BULLISH,1704153600000,1704240000000,313.5300,292.2646,stop_loss,-6.78,86400000
BNBUSDT,BULLISH,1704326400000,1704672000000,315.6000,290.4069,stop_loss,-7.98,345600000
BNBUSDT,BULLISH,1704758400000,1704931200000,303.8400,308.5100,force_close,1.54,172800000
XRPUSDT,BULLISH,1704240000000,1704326400000,0.6250,0.5825,stop_loss,-6.79,86400000
XRPUSDT,BEARISH,1704412800000,1704931200000,0.5868,0.6020,force_close,-2.59,518400000
